#Digilent WaveForms Network Analyzer - Bode
#Device Name: EExplorer
#Serial Number: SN:210151AA5CFE
#Date Time: 2020-08-19 01:44:42.919
#Start: 500 Hz
#Stop: 20000 Hz
#Steps: 161
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 2
#Range: 4.66727 V
#Offset: -0.00127811 V
#Relative: yes

#Twin T notch filter
#R1 = R2 = 3k3
#R3 = 1k5
#C1 = C2 = 18nF
#C3 = 39nF
Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
500.0000000000001,-1.904770528446325,-35.73951897347993
511.6616644623939,-1.976942130732737,-36.39628798557948
523.5953177608546,-2.050535457777034,-37.05483283235753
535.80730358047,-2.127980544390808,-37.72906472489958
548.3041135621809,-2.206727276528258,-38.39996082673866
561.0923907536057,-2.288782354232089,-39.08681216616935
574.1789331403476,-2.373268683729802,-39.76982438944698
587.5706972596635,-2.460694935397003,-40.4661492301276
601.2748018984178,-2.549687053635594,-41.16433832953142
615.2985318772811,-2.642428314453303,-41.86713625620778
629.6493419231938,-2.738116789764567,-42.57507592204037
644.3348606321446,-2.836344800181518,-43.29275445008393
659.3628945243753,-2.93846961609459,-44.01286057597095
674.7414321941676,-3.042558128001586,-44.72820348513841
690.4786485564144,-3.149724175155906,-45.45603564694235
706.5829091922386,-3.260903429581822,-46.18518641586419
723.0627747959626,-3.375268708266919,-46.91962231175098
739.9270057257984,-3.49230595504242,-47.66139445117921
757.1845666606748,-3.613650346514518,-48.40002792659695
774.8446313656744,-3.737739488388196,-49.14706598729504
792.9165875686218,-3.865668014488961,-49.8981937428014
811.410041950405,-3.996803278312008,-50.64906483431965
830.3348252516901,-4.131843408962885,-51.40123965277179
849.7009974987417,-4.271238459947547,-52.15986731995525
869.518853351125,-4.413877576106916,-52.90872378010781
889.7989275741375,-4.560349063684507,-53.67121986589839
910.5520006388723,-4.710263454322657,-54.42334044308893
931.7891044528961,-4.864575546977471,-55.19329298804193
953.5215282245848,-5.023358483209757,-55.95651676788441
975.7608244642331,-5.186729994512776,-56.71283773627644
998.5188151251342,-5.354728487955835,-57.48154184506832
1021.807597887887,-5.526304472371796,-58.24026037902634
1045.639552591273,-5.703147746433831,-59.00546151838356
1070.027347813128,-5.883484363331184,-59.76943853704982
1094.983947604692,-6.06959891026829,-60.53416515628493
1120.522618382038,-6.258705757771533,-61.30121902852009
1146.656935978227,-6.456154010200001,-62.07098158567854
1173.400792859936,-6.656352390489548,-62.83496781075897
1200.768405512415,-6.863955428536538,-63.60326473351186
1228.774321996674,-7.075882493257289,-64.37556888683451
1257.433429682936,-7.294338734814072,-65.14630220743219
1286.760963164455,-7.517489780176025,-65.91672367367919
1316.772512355916,-7.749557933316259,-66.68273301694455
1347.484030780713,-7.988466807155729,-67.45400831046641
1378.91184405151,-8.231354012041995,-68.22764312459468
1411.072658548609,-8.485326588043932,-69.00916192667944
1443.983570300712,-8.744435870285225,-69.77668424124059
1477.662074072825,-9.013660933057945,-70.55941817715562
1512.12607266611,-9.292630689446094,-71.33670869874881
1547.393886434649,-9.579610664874131,-72.11315163076711
1583.48426302417,-9.874013704097537,-72.90327500210581
1620.416387337908,-10.18163004994551,-73.71066037770019
1658.209891734906,-10.50292108751691,-74.51268631893078
1696.884866466176,-10.83358858772417,-75.30875760295265
1736.461870354261,-11.17771032132653,-76.13427453896203
1776.961941721886,-11.53265967427159,-76.95151069968676
1818.406609575494,-11.90283264676467,-77.79868157028726
1860.817905049631,-12.28866162158128,-78.63158721562723
1904.218373118239,-12.69306210919056,-79.49850038415022
1948.6310845791,-13.11599564688915,-80.37626865193033
1994.079648317804,-13.56080776326798,-81.28400529206614
2040.588223857744,-14.02524090513549,-82.18781394390901
2088.181534202827,-14.51645484538569,-83.14962076260474
2136.884878979708,-15.03844857183459,-84.15953250509165
2186.724147886557,-15.59011921981378,-85.20458583030084
2237.725834455491,-16.17808710681637,-86.26831862229483
2289.917050135991,-16.81245848677001,-87.40687349438198
2343.325538706792,-17.49499207690921,-88.65338251882487
2397.979691023907,-18.22930104643815,-90.00017598318667
2453.908560112618,-19.03180775290483,-91.43797309483074
2511.141876611477,-19.90686988367098,-93.11185066880387
2569.710064576495,-20.88667482241007,-94.98726635256213
2629.644257653949,-21.99437803327761,-97.10117107179266
2690.976315630393,-23.23641265949713,-99.81549128986332
2753.738841368654,-24.67558894244867,-103.279894636554
2817.965198138858,-26.35982329749403,-107.8642935204193
2883.689527353655,-28.38435792535673,-114.6843388015191
2950.94676671709,-30.77538565941943,-125.4073013755591
3019.772668796772,-33.40765374497609,-144.5272145799346
3090.203820029203,-34.92457480279653,-176.1608308894253
3162.27766016838,-33.75887092202992,151.1434969129059
3236.032502187995,-31.16576980793812,130.0852703542997
3311.507552647829,-28.69772619717115,118.4700236341547
3388.742932535154,-26.62030808129174,111.3961946841057
3467.779698592221,-24.87841219401602,106.4054538157919
3548.659865141188,-23.39957790643652,102.742047207833
3631.426426418068,-22.10403745732687,99.97147365798632
3716.123379427583,-20.98829762735836,97.73252842718573
3802.795747331068,-19.97441297193848,95.8122047989383
3891.489603379854,-19.07642735263362,94.21571192986165
3982.252095406874,-18.24806214926922,92.68706373220627
4075.131470889473,-17.49151532514272,91.27795067405984
4170.177102596782,-16.79860626956433,90.04154454986843
4267.439514835267,-16.15675900020489,88.83962770100904
4366.970410306406,-15.55010293703664,87.7581865710997
4468.822697590796,-14.9846966296297,86.72152498393042
4573.050519273263,-14.45005338958481,85.66903604637879
4679.709280723945,-13.94519875076764,84.7113361784394
4788.855679550653,-13.46745877219352,83.74436748463764
4900.547735738151,-13.00919944460541,82.81194420623603
5014.844822490394,-12.57600058437784,81.87963049635985
5131.807697792106,-12.16571358474585,81.01779980825857
5251.498536706468,-11.76856140355405,80.13301523837612
5373.980964426117,-11.38683894262538,79.29360849580857
5499.320090094974,-11.02690792299392,78.4266226471027
5627.582541418953,-10.67152328622828,77.58241724457328
5758.836500083859,-10.32873918812296,76.73626120629326
5893.151737999388,-10.00285165759009,75.89121242007378
6030.599654388433,-9.689342913387515,75.11459839575754
6171.253313741446,-9.382474491172086,74.27420211831645
6315.187484656024,-9.087722704461411,73.45716339286844
6462.478679582357,-8.803569140939477,72.64278811222772
6613.205195495685,-8.52445402472944,71.84399093619004
