Freq.	V(n002)/V(n001)
1.00000000000000e+002	(-1.04657860595884e+001dB,7.25592395143997e+001°)
1.02329299228075e+002	(-1.02841333560169e+001dB,7.21784359815336e+001°)
1.04712854805090e+002	(-1.01032626182911e+001dB,7.17904397956391e+001°)
1.07151930523761e+002	(-9.92320351497073e+000dB,7.13951876296270e+001°)
1.09647819614318e+002	(-9.74398652537468e+000dB,7.09926204468060e+001°)
1.12201845430196e+002	(-9.56564293455454e+000dB,7.05826838437334e+001°)
1.14815362149688e+002	(-9.38820482546639e+000dB,7.01653284030962e+001°)
1.17489755493953e+002	(-9.21170506813441e+000dB,6.97405100558697e+001°)
1.20226443461741e+002	(-9.03617730559989e+000dB,6.93081904518629e+001°)
1.23026877081238e+002	(-8.86165593644901e+000dB,6.88683373376184e+001°)
1.25892541179417e+002	(-8.68817609371577e+000dB,6.84209249404852e+001°)
1.28824955169313e+002	(-8.51577361996092e+000dB,6.79659343575247e+001°)
1.31825673855641e+002	(-8.34448503833443e+000dB,6.75033539477533e+001°)
1.34896288259165e+002	(-8.17434751943896e+000dB,6.70331797260536e+001°)
1.38038426460288e+002	(-8.00539884382356e+000dB,6.65554157569262e+001°)
1.41253754462275e+002	(-7.83767735995219e+000dB,6.60700745460792e+001°)
1.44543977074593e+002	(-7.67122193750991e+000dB,6.55771774276912e+001°)
1.47910838816821e+002	(-7.50607191593074e+000dB,6.50767549450153e+001°)
1.51356124843621e+002	(-7.34226704805634e+000dB,6.45688472218398e+001°)
1.54881661891248e+002	(-7.17984743886252e+000dB,6.40535043221673e+001°)
1.58489319246111e+002	(-7.01885347922251e+000dB,6.35307865953419e+001°)
1.62181009735893e+002	(-6.85932577471059e+000dB,6.30007650037273e+001°)
1.65958690743756e+002	(-6.70130506948834e+000dB,6.24635214299385e+001°)
1.69824365246174e+002	(-6.54483216535708e+000dB,6.19191489605428e+001°)
1.73780082874937e+002	(-6.38994783610456e+000dB,6.13677521430896e+001°)
1.77827941003892e+002	(-6.23669273732093e+000dB,6.08094472132969e+001°)
1.81970085860998e+002	(-6.08510731190857e+000dB,6.02443622892207e+001°)
1.86208713666287e+002	(-5.93523169156117e+000dB,5.96726375292707e+001°)
1.90546071796324e+002	(-5.78710559454007e+000dB,5.90944252510038e+001°)
1.94984459975804e+002	(-5.64076822012877e+000dB,5.85098900077380e+001°)
1.99526231496888e+002	(-5.49625814019943e+000dB,5.79192086201805e+001°)
2.04173794466953e+002	(-5.35361318837741e+000dB,5.73225701604579e+001°)
2.08929613085404e+002	(-5.21287034734030e+000dB,5.67201758861710e+001°)
2.13796208950223e+002	(-5.07406563483596e+000dB,5.61122391223811e+001°)
2.18776162394955e+002	(-4.93723398904858e+000dB,5.54989850897530e+001°)
2.23872113856834e+002	(-4.80240915398217e+000dB,5.48806506774480e+001°)
2.29086765276777e+002	(-4.66962356556599e+000dB,5.42574841597602e+001°)
2.34422881531992e+002	(-4.53890823921522e+000dB,5.36297448559273e+001°)
2.39883291901949e+002	(-4.41029265960266e+000dB,5.29977027330189e+001°)
2.45470891568503e+002	(-4.28380467341138e+000dB,5.23616379522956e+001°)
2.51188643150958e+002	(-4.15947038584437e+000dB,5.17218403599501e+001°)
2.57039578276886e+002	(-4.03731406166492e+000dB,5.10786089236678e+001°)
2.63026799189538e+002	(-3.91735803152876e+000dB,5.04322511169783e+001°)
2.69153480392691e+002	(-3.79962260434819e+000dB,4.97830822538996e+001°)
2.75422870333816e+002	(-3.68412598639683e+000dB,4.91314247768999e+001°)
2.81838293126445e+002	(-3.57088420782318e+000dB,4.84776075017015e+001°)
2.88403150312660e+002	(-3.45991105719129e+000dB,4.78219648229282e+001°)
2.95120922666638e+002	(-3.35121802460829e+000dB,4.71648358850371e+001°)
3.01995172040201e+002	(-3.24481425393189e+000dB,4.65065637233720e+001°)
3.09029543251358e+002	(-3.14070650447695e+000dB,4.58474943805224e+001°)
3.16227766016837e+002	(-3.03889912256000e+000dB,4.51879760034610e+001°)
3.23593656929628e+002	(-2.93939402313571e+000dB,4.45283579271615e+001°)
3.31131121482590e+002	(-2.84219068168933e+000dB,4.38689897505579e+001°)
3.38844156139202e+002	(-2.74728613645846e+000dB,4.32102204108000e+001°)
